tracks/artist;tracks/album;tracks/track
M.A.G.S.;M.A.G.S.;Lt. Headed
Knuckle Puck;The Weight That You Buried;Everything Must Go
Kodaline;In A Perfect World (Deluxe);Big Bad World
The Maine;Sticky;Sticky
All Time Low;Don't Panic;For Baltimore
Hayley Kiyoko;A Belle to Remember;Hit & Run
Knuckle Puck;Shapeshifter;Twist
Stand Atlantic;f.e.a.r.;cabin fever (feat. my literal mum)
Neck Deep;Wishful Thinking;Mileage
Neck Deep;Rain In July / A History Of Bad Decisions;Head To The Ground
Tessa Violet;Games;Games
The Wonder Years;The Greatest Generation;Chaser
Tiny Moving Parts;Swell;Wishbone
Fall Out Boy;American Beauty/American Psycho;Immortals
The Greatest Bits;Night in the Woods;Finding Bea
The Front Bottoms;The Front Bottoms;Mountain
Tiny Moving Parts;breathe;Icicles (Morning Glow)
Ed Sheeran;5;Little Lady (feat. Mikill Pane)
ROAM;Great Heights & Nosedives;Alive
Posture & the Grizzly;I Am Satan;I Am Not a Real Doctor
Fall Out Boy;American Beauty/American Psycho;Centuries
All Time Low;Last Young Renegade;Afterglow
The Maine;Can't Stop Won't Stop;Everything I Ask For
Basement;I Wish I Could Stay Here;Canada Square
The Wonder Years;Suburbia I've Given You All and Now I'm Nothing (Deluxe Version);Woke Up Older
Joyce Manor;Never Hungover Again;In the Army Now
Stand Atlantic;Sidewinder;Sidewinder
PVRIS;White Noise;St. Patrick
BLOXX;Thinking About Yourself;Thinking About Yourself
Matt Maeson;Bank On The Funeral;Bank On The Funeral
Real Friends;The Home Inside My Head;Mokena
ROAM;Flatline (Acoustic);Flatline (Acoustic)
New Found Glory;Resurrection: Ascension;Persistent
The Wonder Years;Suburbia I've Given You All and Now I'm Nothing (Deluxe Version);Came Out Swinging
Fall Out Boy;American Beauty/American Psycho;Novocaine
All Time Low;Don't Panic: It's Longer Now!;For Baltimore
Microwave;Stovall;Labor Day
The Maccabees;Colour It In;Toothpaste Kisses
Claire Rosinkranz;Frankenstein;Frankenstein
Tessa Violet;YES MOM;YES MOM
The Maine;Pioneer & The Good Love;You'll Never Know
Neck Deep;The Peace And The Panic;Where Do We Go When We Go
Lord Huron;Lonesome Dreams;Ends of the Earth
Nothing But Thieves;Broken Machine (Deluxe);Hell  Yeah
Cistem Failure;Cistem Failure;You Should Be Terrified
The Maine;American Candy;24 Floors
Cistem Failure;Resilience;A Bigger Cage Is Still a Prison
Anthony Ramos;The Good & The Bad;Mind Over Matter
BL;Garden in the Backyard;Garden in the Backyard
Tiny Moving Parts;Swell;Smooth It Out
Emma Blackery;Magnetised;Nothing Without You
Bright Eyes;I'm Wide Awake  It's Morning;Land Locked Blues
All Time Low;Future Hearts;Old Scars / Future Hearts
Tiny Moving Parts;Swell;Malfunction
Tiny Moving Parts;Swell;Wildfire
Modern Baseball;Sports;See Ya  Sucker
Real Friends;Put Yourself Back Together;Skin Deep
Have Mercy;A Place of Our Own;Howl
The Wonder Years;The Greatest Generation;The Bastards  The Vultures  The Wolves
Never Loved;Goddamn;Goddamn
The Maine;Can't Stop Won't Stop;Time To Go
Nothing But Thieves;Broken Machine (Deluxe);Particles - Piano Version
Neck Deep;Life's Not Out To Get You;December
Foals;Holy Fire;Everytime
The Wonder Years;Suburbia I've Given You All and Now I'm Nothing (Deluxe Version);Don't Let Me Cave In (Demo)
New Found Glory;Resurrection: Ascension;The Enemy
Can't Swim;Fail You Again;Kid
Neck Deep;Life's Not Out To Get You;Lime St.
YUNGBLUD;weird!;charity
The Wonder Years;The Greatest Generation;We Could Die Like This
HUNNY;Windows I;Televised
Matt Maeson;Bank On The Funeral;Legacy
Olivia Rodrigo;SOUR;good 4 u
Hot Milk;I JUST WANNA KNOW WHAT HAPPENS WHEN I'M DEAD - EP;Woozy
The Wonder Years;Suburbia I've Given You All and Now I'm Nothing (Deluxe Version);You Made Me Want to be a Saint
The Wonder Years;No Closer To Heaven;A Song For Patsy Cline
Ed Sheeran;x;Tenerife Sea
The Eskies;And Don't Spare The Horses;Shame
Troye Sivan;Blue Neighbourhood;FOOLS
Hayley Kiyoko;I'm Too Sensitive For This Shit;Demons
Real Friends;The Home Inside My Head;Basement Stairs
Zolita;Immaculate Conception;Holy
Boston Manor;Be Nothing.;Forget Me Not
ROAM;Backbone;Goodbyes
PVRIS;White Noise;Holy
José González;Open Book;Open Book
Real Friends;Everyone That Dragged You Here;Everything I Never Want To Be
Microwave;Stovall;The Last
AS IT IS;Never Happy  Ever After;Sorry
AS IT IS;Never Happy  Ever After;Concrete
Now; Now;Threads
Tough On Fridays;Autumn;Summer
Kodaline;Politics of Living;Hell Froze Over
La Secte Phonétik;La Réunion Des Text Addicts;Bienvenue Dans La Secte
Tonight Alive;The Other Side;The Other Side
Now; Now;Threads
Up from Here;All Of The Above;All Of The Above
The Maine;XOXO: From Love & Anxiety In Real Time;High Forever
Kodaline;Politics of Living;Angel
The Wombats;Glitterbug;Pink Lemonade
Billie Eilish;WHEN WE ALL FALL ASLEEP  WHERE DO WE GO?;you should see me in a crown
CLIFFDIVER;At Your Own Risk;Lost in IKEA
Modern Baseball;Holy Ghost;Apple Cider I Don't Mind
Real Friends;Acoustic Songs;Floorboards (Acoustic)
Joyce Manor;Never Hungover Again;Catalina Fight Song
Chase Petra;Liminal;Prologue
Basement;Beside Myself;Slip Away
The Wombats;Proudly Present... A Guide to Love  Loss & Desperation;Lost in the Post
Ed Sheeran;x;Make It Rain
Modern Baseball;Modern Baseball / The Hundred Acre Woods Split;240
All Time Low;Wake Up  Sunshine;Monsters (feat. blackbear)
Ed Sheeran;+;Kiss Me
Chase Petra;Liminal;Quicksand
Chapel;Sunday Brunch;Miss Monogamy
Steph Barrak;Words to Break Your Heart;Married a Robber
The Wonder Years;No Closer To Heaven;I Don't Like Who I Was Then
The Wombats;Proudly Present... A Guide to Love  Loss & Desperation;Party in a Forest (Where's Laura?)
Modern Baseball;Sports;Tears Over Beers
Nothing But Thieves;Broken Machine (Deluxe);I'm Not Made by Design
Tiny Moving Parts;Swell;Feel Alive
Zac Efron;The Greatest Showman (Original Motion Picture Soundtrack);Rewrite The Stars
All Time Low;Future Hearts;Runaways
In Love With a Ghost;heart of the woods (ending theme);heart of the woods (ending theme)
Harry Styles;Fine Line;Treat People With Kindness
Modern Baseball;Holy Ghost;Just Another Face
Foals;What Went Down;London Thunder
Troye Sivan;Bloom;Bloom
The Wonder Years;The Greatest Generation;Cul-de-sac
Boston Manor;Welcome to the Neighbourhood;The Day That I Ruined Your Life
Neck Deep;The Peace And The B Sides;Worth It
Harry Styles;Harry Styles;From the Dining Table
Matt Maeson;Never Had to Leave;Problems
The Maine;Forever Halloween (Deluxe Version);Ice Cave
The Maine;Less Noise: A Collection of Songs by a Band Called the Maine;We’ll All Be (Acoustic)
Neck Deep;All Distortions Are Intentional;Sick Joke
The Maine;Forever Halloween (Deluxe Version);Run
Nothing But Thieves;Nothing But Thieves;Hanging
Real Friends;Composure;Hear What You Want
Clairo;Immunity;Sofia
The Front Bottoms;Talon of the Hawk;Swear to God the Devil Made Me Do It
The Wonder Years;The Greatest Generation;A Raindance in Traffic
Matt Maeson;"Giants (from ""At home with the kids"")";Giants
The Wonder Years;Sister Cities;Raining in Kyoto
Hayley Kiyoko;This Side of Paradise - EP;This Side of Paradise
Stand Atlantic;Pink Elephant;Drink To Drown
Citizen;Everybody Is Going To Heaven;Dive Into My Sun
The Front Bottoms;Rose;Be Nice to Me
Stand Atlantic;f.e.a.r.;nails from the back
Aaron West and The Roaring Twenties;Runnin' Toward the Light;Runnin' Toward the Light
Crooked Teeth;You and Me (Forever);You and Me (Forever)
YUNGBLUD;weird!;teresa
PVRIS;White Noise;My House
The Maine;Forever Halloween (Deluxe Version);So Criminal
Chapel;Room Service;Miss The Days
Tigers Jaw;Charmer;Hum
Have Mercy;A Place of Our Own;Spacecrafts
Now; Now;Threads
My Chemical Romance;Three Cheers for Sweet Revenge;Thank You for the Venom
The Happy Fits;Concentrate;Little Words
Hayley Kiyoko;A Belle to Remember;Rich Youth
chloe moriondo;I Want To Be With You;I Want To Be With You
JAWNY;For Abby;Honeypie
The Wombats;Beautiful People Will Ruin Your Life;Lemon to a Knife Fight
Have Mercy;Make The Best Of It;Disagree
Chapel;Sunday Brunch;See You Again
Modern Baseball;Holy Ghost;Wedding Singer
Sir Chloe;Party Favors;Sedona
Lauv;i'm so tired...;i'm so tired...
The Front Bottoms;Rose;Lipstick Covered Magnet
Hayley Kiyoko;Expectations;Under the Blue / Take Me In
Kodaline;Politics of Living;I Wouldn't Be
The Front Bottoms;Back on Top;2YL
State Champs;Kings of the New Age;Sundress
The Eskies;After the Sherry Went Round;Tear Along the Line
Can't Swim;Fail You Again;50000000
Can't Swim;Fail You Again;Quitting
Hugh Jackman;The Greatest Showman (Original Motion Picture Soundtrack);From Now On
The Eskies;After the Sherry Went Round;Rapture and Revelry
Basement;Beside Myself;Be Here Now
The Wombats;Beautiful People Will Ruin Your Life;Ice Cream
ROAM;Great Heights & Nosedives;Flatline
The Front Bottoms;Back on Top;Motorcycle
Citizen;As You Please;In the Middle Of It All
All Time Low;So Wrong  It's Right (Deluxe Version);Holly (Would You Turn Me On?)
Neck Deep;The Peace And The Panic;19 Seventy Sumthin'
ROAM;Smile Wide;Red & Blue
New Found Glory;Resurrection: Ascension;Vicious Love (feat. Hayley Williams)
Billie Eilish;dont smile at me;ocean eyes
Citizen;Youth;Drawn Out
Boston Manor;Welcome to the Neighbourhood;If I Can't Have It No One Can
Airways;Starting to Spin;Starting to Spin
The Eskies;After the Sherry Went Round;Chin Up Jack
Basement;Promise Everything;My Favourite Game
Real Friends;Everyone That Dragged You Here;Home for Fall
Now; Now;Threads
Knuckle Puck;Copacetic;Stationary
The Front Bottoms;Back on Top;The Plan (Fuck Jobs)
YUNGBLUD;21st Century Liability;Anarchist
Neck Deep;The Peace And The Panic;In Bloom
All Time Low;Don't Panic: It's Longer Now!;Backseat Serenade
Emma Blackery;Villains;Burn the Witch
All Time Low;Dirty Work;A Daydream Away
Tiny Moving Parts;breathe;Medicine
LÉON;Apart;In a Stranger's Arms
PVRIS;White Noise;Mirrors
All Time Low;Dirty Work;Return The Favor
Neck Deep;Wishful Thinking;Say What You Want
PVRIS;White Noise;Eyelids
Matt Maeson;Never Had to Leave;Twisted Tongue
Neck Deep;All Distortions Are Intentional;Little Dove
The Wombats;Glitterbug;Curveballs
State Champs;Apparently  I'm Nothing;The Record
The Front Bottoms;In Sickness & In Flames;new song d
Neck Deep;Rain In July / A History Of Bad Decisions;Kick It
Modern Baseball;MOBO Presents: The Perfect Cast EP feat. Modern Baseball;...And Beyond
Neck Deep;Life's Not Out To Get You;I Hope This Comes Back To Haunt You
Troye Sivan;Blue Neighbourhood;YOUTH
My Chemical Romance;Danger Days: The True Lives of the Fabulous Killjoys;Planetary (GO!)
Stand Atlantic;Pink Elephant;Jurassic Park
Frank Iero;parachutes;Dear Percocet  I Don't Think We Should See Each Other Anymore.
The Stranglers;La Folie;Golden Brown
New Found Glory;Sticks And Stones;Belated
Simple Creatures;Strange Love;Ether
COIN;How Will You Know If You Never Try;Talk Too Much
Joyce Manor;Never Hungover Again;Christmas Card
Kodaline;Coming Up for Air;Everything Works Out in the End
Real Friends;The Home Inside My Head;Empty Picture Frames
Kodaline;Coming Up for Air;War
The Maine;Black & White;Whoever She Is - Home Recording
Troye Sivan;Blue Neighbourhood;LOST BOY
Hayley Kiyoko;Chance;chance
The Wonder Years;No Closer To Heaven;Cigarettes & Saints
My Chemical Romance;Three Cheers for Sweet Revenge;Hang 'Em High
Matt Maeson;Never Had to Leave;Never Had To Leave
Matt Maeson;Never Had to Leave;My Hand/Lawless Dream
The Maine;Black & White;Free - Home Recording
Basement;Beside Myself;Keepsake
The Wombats;Proudly Present... A Guide to Love  Loss & Desperation;School Uniforms
Microwave;Death is a Warm Blanket;Hate TKO
José González;Veneer;Crosses
Kodaline;Politics of Living;Temple Bar
Ren;Demos [Do Not Share]  Vol. II;Insomnia (Bonus Track)
The Maine;Forever Halloween (Deluxe Version);Sad Songs
Nothing But Thieves;Nothing But Thieves;Drawing Pins
The Maine;Less Noise: A Collection of Songs by a Band Called the Maine;Am I Pretty? (Acoustic)
Ed Sheeran;5;You (feat. Wiley)
Left at London;I DONT TRUST U ANYMORE;I DONT TRUST U ANYMORE
ROAM;Backbone;Hopeless Case
The Maine;Pioneer & The Good Love;Misery
Nothing But Thieves;Nothing But Thieves;Hostage
AS IT IS;okay.;The Coast Is Where Home Is
Neck Deep;All Distortions Are Intentional;Pushing Daisies
Matt Maeson;Never Had to Leave;Cry Baby
BLOXX;Headspace;Headspace
AS IT IS;Never Happy  Ever After;Speak Soft
Citizen;Everybody Is Going To Heaven;Ten
Joyce Manor;Never Hungover Again;Heart Tattoo
The Wonder Years;Suburbia I've Given You All and Now I'm Nothing (Deluxe Version);I Won't Say the Lord's Prayer
AS IT IS;Never Happy  Ever After;Drowning Deep In Doubt
Airways;Terrible Town;Me and My Brain
Panic! At The Disco;Pretty. Odd.;Northern Downpour
Citizen;Youth;Figure You Out
My Chemical Romance;Danger Days: The True Lives of the Fabulous Killjoys;Save Yourself  I'll Hold Them Back
The Front Bottoms;Going Grey;Trampoline
PVRIS;All We Know Of Heaven  All We Need Of Hell;No Mercy
Hayley Kiyoko;Expectations;Palm Dreams
Stand Atlantic;Sidewinder;Mess I Made
State Champs;Around the World and Back;All You Are Is History
The Maine;Pioneer & The Good Love;Good Love
Basement;Beside Myself;Stigmata
Simple Creatures;Strange Love;Lucy
Hands Like Houses;Hands Like Houses;Stranger
Real Friends;Maybe This Place Is The Same And We're Just Changing;Sixteen
The Homeless Gospel Choir;Presents: Normal;Everyone
Harry Styles;Harry Styles;Meet Me in the Hallway
Chapel;Sunday Brunch;Fool's Gold
The Wombats;Beautiful People Will Ruin Your Life;White Eyes
Microwave;Split;But Not Often
Cyberbully Mom Club;Amy Locust Whatever;Life Time Warranty
Chapel;Friends;Friends
The Eskies;After the Sherry Went Round;Fever
Hozier;Wasteland  Baby!;Almost (Sweet Music)
Hayley Kiyoko;Expectations;Expectations (Overture)
YUNGBLUD;21st Century Liability;Machine Gun (F**k The NRA)
Fall Out Boy;American Beauty/American Psycho;The Kids Aren't Alright
The Wombats;Beautiful People Will Ruin Your Life;I Only Wear Black
Nothing But Thieves;Nothing But Thieves;Honey Whiskey
State Champs;Living Proof;The Fix Up
Citizen;As You Please;Flowerchild
Knuckle Puck;While I Stay Secluded;In My Room
New Found Glory;Sticks And Stones;Never Give Up
The Front Bottoms;Going Grey;Don't Fill up on Chips
Neck Deep;Wishful Thinking;Staircase Wit
New Found Glory;Resurrection: Ascension;On My Own
Kodaline;Coming Up for Air;Honest
The Moderates;Colour;Strange Town
Kesha;Rainbow;Praying
The Maine;Less Noise: A Collection of Songs by a Band Called the Maine;Saving Grace (Acoustic)
The Front Bottoms;The Front Bottoms;Flashlight
Kodaline;Politics of Living;Brother
Neck Deep;Rain In July / A History Of Bad Decisions;Tables Turned
Ed Sheeran;+;Grade 8
A Great Big World;Is There Anybody Out There?;Everyone Is Gay
Ed Sheeran;x;Don't
Hot Milk;Are You Feeling Alive?;Awful Ever After
All Time Low;Put Up Or Shut Up (Deluxe Version);Running From Lions
The Wonder Years;Sister Cities;When the Blue Finally Came
Real Friends;Put Yourself Back Together;Old and All Alone
Frankie Cosmos;Close It Quietly;41st
Boston Manor;Englands Dreaming (Acoustic);England's Dreaming - Acoustic
Shared Delusions;Skeletons of the Sunflowers;Coffee and Weed
Troye Sivan;Bloom;The Good Side
Ed Sheeran;Loose Change;Sofa
Stand Atlantic;Righteous;Righteous - triple j Like A Version
Ed Sheeran;÷;Galway Girl
Knuckle Puck;Don't Come Home;Give Up
The Maine;American Candy;Miles Away
Kodaline;Politics of Living;Shed a Tear
ROAM;Viewpoint;Safeguard
Microwave;Stovall;Tar
Neck Deep;Rain In July / A History Of Bad Decisions;Over and Over
AS IT IS;okay.;Still Remembering
Citizen;Everybody Is Going To Heaven;Ring of Chain
Stand Atlantic;hair out;pity party (feat. Royal & the Serpent)
All Time Low;Don't Panic: It's Longer Now!;For Baltimore (Acoustic)
Citizen;Youth;Roam The Room
The Wonder Years;Sister Cities;We Look Like Lightning
PVRIS;All We Know Of Heaven  All We Need Of Hell;What's Wrong
AS IT IS;okay.;Hey Rachel
Harry Styles;Fine Line;Golden
Basement;Colourmeinkindness;Bad Apple
Knuckle Puck;Don't Come Home;Stuck
YUNGBLUD;21st Century Liability;Die For The Hype
All Time Low;Dirty Work;Merry Christmas  Kiss My Ass
Son Lux;Plans We Made;Plans We Made
The Front Bottoms;The Front Bottoms;Maps
Joyce Manor;Never Hungover Again;Victoria
Airways;Starting to Spin;White Noise Boys
Kodaline;Politics of Living;Follow Your Fire
My Chemical Romance;Three Cheers for Sweet Revenge;I'm Not Okay (I Promise)
Have Mercy;Make The Best Of It;Smoke And Lace
Panic! At The Disco;Too Weird to Live  Too Rare to Die!;Casual Affair
Real Friends;Maybe This Place Is The Same And We're Just Changing;Cover You Up
Ed Sheeran;x;Runaway
AS IT IS;The Great Depression;The Handwritten Letter
Cistem Failure;Cistem Failure;Belly of the Beast
Knuckle Puck;While I Stay Secluded;But Why Would You Care?
Ed Sheeran;÷;Save Myself
Ratwyfe;Mushroom Melancholia;Blue Raspberry Vape Cloud
State Champs;Around the World and Back;Secrets
The Wonder Years;No Closer To Heaven;Stained Glass Ceilings
The Hundred Acre Woods;Modern Baseball / The Hundred Acre Woods Split;All I Love
Chase Petra;Liminal;Temporary
Boston Manor;Be Nothing.;Stop Trying  Be Nothing.
Harry Styles;Fine Line;Sunflower  Vol. 6
Neck Deep;Life's Not Out To Get You;Gold Steps
Tigers Jaw;spin;Brass Ring
Microwave;Death is a Warm Blanket;Carry
State Champs;Living Proof;Sidelines
My Chemical Romance;The Foundations of Decay;The Foundations of Decay
All Time Low;Nothing Personal;Weightless
Billie Eilish;dont smile at me;bellyache
Airways;Alien;Alien
Foals;What Went Down;A Knife in the Ocean
The Maine;You Are OK;My Best Habit
Stand Atlantic;Pink Elephant;Silk & Satin
The Front Bottoms;Going Grey;Ocean
Boston Manor;Welcome to the Neighbourhood;Halo
Real Friends;From The Outside;From The Outside
The Maine;Can't Stop Won't Stop;Whoever She Is
The Front Bottoms;Talon of the Hawk;Peach
All Time Low;So Wrong  It's Right (Deluxe Version);Let It Roll
My Chemical Romance;Three Cheers for Sweet Revenge;Give 'Em Hell  Kid
Billie Eilish;dont smile at me;COPYCAT
YUNGBLUD;13 Reasons Why;Falling Skies (feat. Charlotte Lawrence)
PVRIS;What's Wrong;What's Wrong
AS IT IS;okay.;Pretty Little Distance
AS IT IS;okay.;Patchwork Love
All Time Low;Dirty Work;Guts
Keep for Cheap;Day Without You;Day Without You
Basement;Promise Everything;Cloud
Billie Eilish;dont smile at me;hostage
GAYLE;abcdefu;abcdefu
Hot Milk;California's Burning;California's Burning
Stand Atlantic;Pink Elephant;Like That
Steph Barrak;Words to Break Your Heart;Natural Progression
The Mountain Goats;Tallahassee;No Children
ROAM;Smile Wide;I Don't Think I Live There Anymore
Nothing But Thieves;Nothing But Thieves;Trip Switch
Real Friends;The Home Inside My Head;Eastwick
Aaron West and The Roaring Twenties;We Don't Have Each Other;St. Joe Keeps Us Safe
The Front Bottoms;Back on Top;Ginger
Airways;Will It Tear Us Apart?;Will It Tear Us Apart?
Have Mercy;Make The Best Of It;Good Christian Man
Fall Out Boy;Folie à Deux;I Don't Care
Matt Maeson;The Hearse;The Hearse
Frank Iero;parachutes;Remedy
YUNGBLUD;weird!;mars
Steph Barrak;Words to Break Your Heart;Drift With It
Machine Gun Kelly;Hotel Diablo;I Think I'm OKAY (with YUNGBLUD & Travis Barker)
Cistem Failure;Resilience;Disconnected
Basement;Colourmeinkindness;Whole
The Cinematic Orchestra;Ma Fleur;To Build A Home
YUNGBLUD;YUNGBLUD;Psychotic Kids - Unplugged
The Wonder Years;Sister Cities;The Ghosts of Right Now
The Maine;Pioneer & The Good Love;I'm Sorry
All Time Low;Nothing Personal;Walls
AS IT IS;The Great Depression;The Fire  The Dark
The Eskies;After the Sherry Went Round;Thelma Erve
Cistem Failure;Resilience;Get Your Hands Off of Them
The Wonder Years;The Greatest Generation;Passing Through A Screen Door
New Found Glory;Resurrection: Ascension;Degenerate
Broadside;Paradise;I Love You  I Love You. It's Disgusting
Steph Barrak;Words to Break Your Heart;Oh Lo Lo
The Homeless Gospel Choir;I Used to Be So Young;Don't Give Up
Harry Styles;Harry Styles;Only Angel
All Time Low;Don't Panic: It's Longer Now!;Somewhere In Neverland (Acoustic)
Chase Petra;Liminal;Sexy Song
State Champs;Around the World and Back;Slow Burn
The Wonder Years;Sister Cities;The Ocean Grew Hands to Hold Me
Microwave;Stovall;The Fever
Ed Sheeran;x;Sing
Aaron West and The Roaring Twenties;We Don't Have Each Other;Our Apartment
The Moxies;The Moxies;Main Street Drive-In
State Champs;Around the World and Back;Breaking Ground
Kodaline;In A Perfect World (Deluxe);The Answer
Real Friends;The Home Inside My Head;Isolating Everything
The Wombats;Beautiful People Will Ruin Your Life;Black Flamingo
Weathers;Pillows & Therapy;C'est la vie
